city,hotel_name,score,description,latitude,longitude,temperature,humidity
La Rochelle,Hôtel Le Transatlantique - Lycée Hôtelier La Rochelle,8.8,"Located in La Rochelle, 2.5 km from Parc Expo de La Rochelle,  The hotel and catering school property is around 5 km from La Rochelle Grosse Horloge, 1.5 km from Musée Maritime de La Rochelle and 1.8...",46.143734,-1.160263,4,81
Besancon,Le Voyageur,6.7,"Set in Besançon, 500 metres from Besancon Viotte Train Station, 1.1 km from Besançon-Mouillère train station and 5.3 km from Micropolis, Le Voyageur offers accommodation with a terrace and free WiFi. ",47.2477178,6.0270496,0,88
La Rochelle,Hotel La Fabrique,8.4,Hotel La Fabrique offers accommodation in La Rochelle. Guests can enjoy the on-site bar. Rooms come with a flat-screen TV. Hôtel La Fabrique features free WiFi throughout the property. ,46.156155,-1.148583,4,81
Besancon,Appart'Hôtel Luxapparts,8.7,Managed by a private host,47.23733956,6.03551203,0,88
Besancon,"Le Bellevue - Parc, Gare et Vieille ville",,Managed by a private host,47.2459538,6.0230912,0,88
Besancon,Hôtel Fontaine Argent - Centre Ville,8.5,"Hôtel Fontaine Argent - Centre Ville is set in Besançon, 6.6 km from Micropolis and 13 km from Besançon Franche-Comté TGV train station. ",47.246146,6.033186,0,88
Besancon,Contact Hôtel Foch,7.0,"Situated a few steps from the Besançon train station and just 5 minutes from the city centre, the Hotel Foch offers quality comfort at an affordable price This charming hotel provides a panoramic vie...",47.24619696,6.02335095,0,88
Besancon,Hotel Vauban,8.5,"Located in Besançon, Hotel Vauban a 2-minute walk from the Museum of Fine Arts and an 18-minute walk from the Citadel of Besançon. It offers free internet access, a 24-hour front desk and a terrace. ",47.23986296,6.02139884,0,88
Besancon,Brit Hotel Besancon l'Horloge,7.5,"Set in Besançon, 3.2 km from Besancon Viotte Train Station, Brit Hotel Besancon l'Horloge offers accommodation with a bar, free private parking, a shared lounge and a terrace. ",47.26358654,6.05153292,0,88
Besancon,Mercure Besancon Parc Micaud,7.6,This Hotel Mercure is situated in the city centre of Besancon in the casino garden on the Doubs River and opposite the Micaud Park. ,47.24228752,6.03179455,0,88
